Scenario,ReturnPeriod,Climate,Maintenance,Region,Mode,Asset,Baseline_Value,RingBunds_Value,Reduction_Absolute,Reduction_Percentage
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,bhu,1,1,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,schools,10,10,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,roads,102780,102780,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,hydraulic,24390,24390,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,crop,29170656.9,29170656.9,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,buildLow56,27778766.4,27778766.4,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,buildLow44,62414326.66,62414326.66,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,buildHigh,9330369.75,9330369.75,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,telecom,114167.58,114167.58,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,electric,276696,276696,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,railways,16315110,16315110,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,hospitals,64288.14,64288.14,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,schools,137122.14,137122.14,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,roads,4891212,4891212,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Dmg,hydraulic,1121400,1121400,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,crop,61.56,61.56,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,buildLow56,2016,2016,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,buildLow44,1584,1584,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,buildHigh,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,electric,180,180,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,roads,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Exp,hydraulic,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,crop,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,buildLow56,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,buildLow44,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,buildHigh,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,electric,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,roads,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Kashmore,Dmg,hydraulic,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,crop,1.08,1.08,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,buildLow56,504,504,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,buildLow44,396,396,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,buildHigh,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,electric,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,roads,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Exp,hydraulic,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,crop,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,buildLow56,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,buildLow44,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,buildHigh,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,electric,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,roads,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Larkana,Dmg,hydraulic,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,crop,2686.5,2686.5,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,buildLow56,144648,144648,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,buildLow44,113652,113652,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,buildHigh,4500,4500,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,electric,4140,4140,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,roads,64860,64860,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Exp,hydraulic,10740,10740,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,crop,707265.9,707265.9,0,0.00
